name,year,population
Arkansas,1820,14273
California,1820,NA
Colorado,1820,NA
Connecticut,1820,275202
Delaware,1820,72749
District of Columbia,1820,23336
Florida,1820,NA
Georgia,1820,340989
Hawaii,1820,NA
Idaho,1820,NA
Illinois,1820,55211
Indiana,1820,147178
Iowa,1820,NA
Kansas,1820,NA
Kentucky,1820,564317
Louisiana,1820,153407
Maine,1820,298335
Maryland,1820,407350
Massachusetts,1820,523287
Michigan,1820,7452
Minnesota,1820,NA
Mississippi,1820,75448
Missouri,1820,66586
Montana,1820,NA
Nebraska,1820,NA
Nevada,1820,NA
New Hampshire,1820,244161
New Jersey,1820,277575
New Mexico,1820,NA
New York,1820,1372812
North Carolina,1820,638829
North Dakota,1820,NA
Ohio,1820,581434
Oklahoma,1820,NA
Oregon,1820,NA
Pennsylvania,1820,1049458
Rhode Island,1820,83059
South Carolina,1820,502741
South Dakota,1820,NA
Tennessee,1820,422813
Texas,1820,NA
Utah,1820,NA
Vermont,1820,235764
Virginia,1820,938261
Washington,1820,NA
West Virginia,1820,136808
Wisconsin,1820,1444
Wyoming,1820,NA
United States,1820,9638453
Alabama,1830,309527
Alaska,1830,NA
Arizona,1830,NA
Arkansas,1830,30388
California,1830,NA
Colorado,1830,NA
Connecticut,1830,297675
Delaware,1830,76748
District of Columbia,1830,30261
Florida,1830,34730
Georgia,1830,516823
Hawaii,1830,NA
Idaho,1830,NA
Illinois,1830,157445
Indiana,1830,343031
Iowa,1830,NA
Kansas,1830,NA
Kentucky,1830,687917
Louisiana,1830,215739
Maine,1830,399455
Maryland,1830,447040
Massachusetts,1830,610408
Michigan,1830,28004
Minnesota,1830,NA
Mississippi,1830,136621
Missouri,1830,140455
Montana,1830,NA
Nebraska,1830,NA
Nevada,1830,NA
New Hampshire,1830,269328
New Jersey,1830,320823
New Mexico,1830,NA
New York,1830,1918608
North Carolina,1830,737987
North Dakota,1830,NA
Ohio,1830,937903
Oklahoma,1830,NA
Oregon,1830,NA
Pennsylvania,1830,1348233
Rhode Island,1830,97199
South Carolina,1830,581185
South Dakota,1830,NA
Tennessee,1830,681904
Texas,1830,NA
Utah,1830,NA
Vermont,1830,280652
Virginia,1830,1044054
Washington,1830,NA
West Virginia,1830,176924
Wisconsin,1830,3635
Wyoming,1830,NA
United States,1830,12860702
Alabama,1840,590756
Alaska,1840,NA
Arizona,1840,NA
Arkansas,1840,97574
California,1840,NA
Colorado,1840,NA
Connecticut,1840,309978
Delaware,1840,78085
District of Columbia,1840,33745
Florida,1840,54477
Georgia,1840,691392
Hawaii,1840,NA
Idaho,1840,NA
Illinois,1840,476183
Indiana,1840,685866
Iowa,1840,43112
Kansas,1840,NA
Kentucky,1840,779828
Louisiana,1840,352411
Maine,1840,501793
Maryland,1840,470019
Massachusetts,1840,737699
Michigan,1840,212267
Minnesota,1840,NA
Mississippi,1840,375651
Missouri,1840,383702
Montana,1840,NA
Nebraska,1840,NA
Nevada,1840,NA
New Hampshire,1840,284574
New Jersey,1840,373306
New Mexico,1840,NA
New York,1840,2428921
North Carolina,1840,753419
North Dakota,1840,NA
Ohio,1840,1519467
Oklahoma,1840,NA
Oregon,1840,NA
Pennsylvania,1840,1724033
Rhode Island,1840,108830
South Carolina,1840,594398
South Dakota,1840,NA
Tennessee,1840,829210
Texas,1840,NA
Utah,1840,NA
Vermont,1840,291948
Virginia,1840,1025227
Washington,1840,NA
West Virginia,1840,224537
Wisconsin,1840,30945
Wyoming,1840,NA
United States,1840,17063353
Alabama,1850,771623
Alaska,1850,NA
Arizona,1850,NA
Arkansas,1850,209897
California,1850,92597
Colorado,1850,NA
Connecticut,1850,370792
Delaware,1850,91532
District of Columbia,1850,51687
Florida,1850,87445
Georgia,1850,906185
Hawaii,1850,NA
Idaho,1850,NA
Illinois,1850,851470
Indiana,1850,988416
Iowa,1850,192214
Kansas,1850,NA
Kentucky,1850,982405
Louisiana,1850,517762
Maine,1850,583169
Maryland,1850,583034
Massachusetts,1850,994514
Michigan,1850,397654
Minnesota,1850,6077
Mississippi,1850,606526
Missouri,1850,682044
Montana,1850,NA
Nebraska,1850,NA
Nevada,1850,NA
New Hampshire,1850,317976
New Jersey,1850,489555
New Mexico,1850,61547
New York,1850,3097394
North Carolina,1850,869039
North Dakota,1850,NA
Ohio,1850,1980329
Oklahoma,1850,NA
Oregon,1850,12093
Pennsylvania,1850,2311786
Rhode Island,1850,147545
South Carolina,1850,668507
South Dakota,1850,NA
Tennessee,1850,1002717
Texas,1850,212592
Utah,1850,11380
Vermont,1850,314120
Virginia,1850,1119348
Washington,1850,1201
West Virginia,1850,302313
Wisconsin,1850,305391
Wyoming,1850,NA
United States,1850,23191876
Alabama,1860,964201
Alaska,1860,NA
Arizona,1860,NA
Arkansas,1860,435450
California,1860,379994
Colorado,1860,34277
Connecticut,1860,460147
Delaware,1860,112216
District of Columbia,1860,75080
Florida,1860,140424
Georgia,1860,1057286
Hawaii,1860,NA
Idaho,1860,NA
Illinois,1860,1711951
Indiana,1860,1350428
Iowa,1860,674913
Kansas,1860,107206
Kentucky,1860,1155684
Louisiana,1860,708002
Maine,1860,628279
Maryland,1860,687049
Massachusetts,1860,1231066
Michigan,1860,749113
Minnesota,1860,172023
Mississippi,1860,791305
Missouri,1860,1182012
Montana,1860,NA
Nebraska,1860,28841
Nevada,1860,6857
New Hampshire,1860,326073
New Jersey,1860,672035
New Mexico,1860,87034
New York,1860,3880735
North Carolina,1860,992622
North Dakota,1860,NA
Ohio,1860,2339511
Oklahoma,1860,NA
Oregon,1860,52465
Pennsylvania,1860,2906215
Rhode Island,1860,174620
South Carolina,1860,703708
South Dakota,1860,4837
Tennessee,1860,1109801
Texas,1860,604215
Utah,1860,40273
Vermont,1860,315098
Virginia,1860,1219630
Washington,1860,11594
West Virginia,1860,376688
Wisconsin,1860,775881
Wyoming,1860,NA
United States,1860,31443321
Alabama,1870,996992
Alaska,1870,NA
Arizona,1870,9658
Arkansas,1870,484471
California,1870,560247
Colorado,1870,39864
Connecticut,1870,537454
Delaware,1870,125015
District of Columbia,1870,131700
Florida,1870,187748
Georgia,1870,1184109
Hawaii,1870,NA
Idaho,1870,14999
Illinois,1870,2539891
Indiana,1870,1680637
Iowa,1870,1194020
Kansas,1870,364399
Kentucky,1870,1321011
Louisiana,1870,726915
Maine,1870,626915
Maryland,1870,780894
Massachusetts,1870,1457351
Michigan,1870,1184059
Minnesota,1870,439706
Mississippi,1870,827922
Missouri,1870,1721295
Montana,1870,20595
Nebraska,1870,122993
Nevada,1870,42491
New Hampshire,1870,318300
New Jersey,1870,906096
New Mexico,1870,91874
New York,1870,4382759
North Carolina,1870,1071361
North Dakota,1870,2405
Ohio,1870,2665260
Oklahoma,1870,NA
Oregon,1870,90923
Pennsylvania,1870,3521951
Rhode Island,1870,217353
South Carolina,1870,705606
South Dakota,1870,11776
Tennessee,1870,1258520
Texas,1870,818579
Utah,1870,86336
Vermont,1870,330551
Virginia,1870,1225163
Washington,1870,23955
West Virginia,1870,442014
Wisconsin,1870,1054670
Wyoming,1870,9118
United States,1870,38558371
Alabama,1880,1262505
Alaska,1880,NA
Arizona,1880,40440
Arkansas,1880,802525
California,1880,864694
Colorado,1880,194327
Connecticut,1880,622700
Delaware,1880,146608
District of Columbia,1880,177624
Florida,1880,269493
Georgia,1880,1542180
Hawaii,1880,NA
Idaho,1880,32610
Illinois,1880,3077871
Indiana,1880,1978301
Iowa,1880,1624615
Kansas,1880,996096
Kentucky,1880,1648690
Louisiana,1880,939946
Maine,1880,648936
Maryland,1880,934943
Massachusetts,1880,1783085
Michigan,1880,1636937
Minnesota,1880,780773
Mississippi,1880,1131597
Missouri,1880,2168380
Montana,1880,39159
Nebraska,1880,452402
Nevada,1880,62266
New Hampshire,1880,346991
New Jersey,1880,1131116
New Mexico,1880,119565
New York,1880,5082871
North Carolina,1880,1399750
North Dakota,1880,36909
Ohio,1880,3198062
Oklahoma,1880,NA
Oregon,1880,174768
Pennsylvania,1880,4282891
Rhode Island,1880,276531
South Carolina,1880,995577
South Dakota,1880,98268
Tennessee,1880,1542359
Texas,1880,1591749
Utah,1880,143963
Vermont,1880,332286
Virginia,1880,1512565
Washington,1880,75116
West Virginia,1880,618457
Wisconsin,1880,1315497
Wyoming,1880,20789
United States,1880,50155783
Alabama,1890,1513017
Alaska,1890,33426
Arizona,1890,88243
Arkansas,1890,1128211
California,1890,1213398
Colorado,1890,413249
Connecticut,1890,746258
Delaware,1890,168493
District of Columbia,1890,230392
Florida,1890,391422
Georgia,1890,1837353
Hawaii,1890,NA
Idaho,1890,88548
Illinois,1890,3826351
Indiana,1890,2192404
Iowa,1890,1912297
Kansas,1890,1428108
Kentucky,1890,1858635
Louisiana,1890,1118587
Maine,1890,661086
Maryland,1890,1042390
Massachusetts,1890,2238943
Michigan,1890,2093889
Minnesota,1890,1310283
Mississippi,1890,1289600
Missouri,1890,2679184
Montana,1890,142924
Nebraska,1890,1062656
Nevada,1890,47355
New Hampshire,1890,376530
New Jersey,1890,1444933
New Mexico,1890,160282
New York,1890,6003174
North Carolina,1890,1617947
North Dakota,1890,190983
Ohio,1890,3672316
Oklahoma,1890,258657
Oregon,1890,317704
Pennsylvania,1890,5258014
Rhode Island,1890,345506
South Carolina,1890,1151149
South Dakota,1890,348600
Tennessee,1890,1767518
Texas,1890,2235523
Utah,1890,210779
Vermont,1890,332422
Virginia,1890,1655980
Washington,1890,357232
West Virginia,1890,762794
Wisconsin,1890,1693330
Wyoming,1890,60705
United States,1890,NA
Alabama,1900,1828697
Alaska,1900,32052
Arizona,1900,122931
Arkansas,1900,1311564
California,1900,1485053
Colorado,1900,539700
Connecticut,1900,908420
Delaware,1900,184735
District of Columbia,1900,278718
Florida,1900,528542
Georgia,1900,2216331
Hawaii,1900,154001
Idaho,1900,161772
Illinois,1900,4821550
Indiana,1900,2516462
Iowa,1900,2231853
Kansas,1900,1470495
Kentucky,1900,2147174
Louisiana,1900,1381625
Maine,1900,694466
Maryland,1900,1188044
Massachusetts,1900,2805346
Michigan,1900,2420982
Minnesota,1900,1751394
Mississippi,1900,1551270
Missouri,1900,3106665
Montana,1900,243329
Nebraska,1900,1066300
Nevada,1900,42335
New Hampshire,1900,411588
New Jersey,1900,1883669
New Mexico,1900,195310
New York,1900,7268894
North Carolina,1900,1893810
North Dakota,1900,319146
Ohio,1900,4157545
Oklahoma,1900,790391
Oregon,1900,413536
Pennsylvania,1900,6302115
Rhode Island,1900,428556
South Carolina,1900,1340316
South Dakota,1900,401570
Tennessee,1900,2020616
Texas,1900,3048710
Utah,1900,276749
Vermont,1900,343641
Virginia,1900,1854184
Washington,1900,518103
West Virginia,1900,958800
Wisconsin,1900,2069042
Wyoming,1900,92531
United States,1900,75994575
Alabama,1910,2138093
Alaska,1910,64356
Arizona,1910,204354
Arkansas,1910,1574449
California,1910,2377549
Colorado,1910,799024
Connecticut,1910,1114756
Delaware,1910,202322
District of Columbia,1910,331069
Florida,1910,752619
Georgia,1910,2609121
Hawaii,1910,191909
Idaho,1910,325594
Illinois,1910,5638591
Indiana,1910,2700876
Iowa,1910,2224771
Kansas,1910,1690949
Kentucky,1910,2289905
Louisiana,1910,1656388
Maine,1910,742371
Maryland,1910,1295346
Massachusetts,1910,3366416
Michigan,1910,2810173
Minnesota,1910,2075708
Mississippi,1910,1797114
Missouri,1910,3293335
Montana,1910,376053
Nebraska,1910,1192214
Nevada,1910,81875
New Hampshire,1910,430572
New Jersey,1910,2537167
New Mexico,1910,327301
New York,1910,9113614
North Carolina,1910,2206287
North Dakota,1910,577056
Ohio,1910,4767121
Oklahoma,1910,1657155
Oregon,1910,672765
Pennsylvania,1910,7665111
Rhode Island,1910,542610
South Carolina,1910,1515400
South Dakota,1910,583888
Tennessee,1910,2184789
Texas,1910,3896542
Utah,1910,373351
Vermont,1910,355956
Virginia,1910,2061612
Washington,1910,1141990
West Virginia,1910,1221119
Wisconsin,1910,2333860
Wyoming,1910,145965
United States,1910,91972266
Alabama,1920,2348174
Alaska,1920,55036
Arizona,1920,334162
Arkansas,1920,1752204
California,1920,3426861
Colorado,1920,939629
Connecticut,1920,1380631
Delaware,1920,223003
District of Columbia,1920,437571
Florida,1920,968470
Georgia,1920,2895832
Hawaii,1920,255912
Idaho,1920,431866
Illinois,1920,6485280
Indiana,1920,2930390
Iowa,1920,2404021
Kansas,1920,1769257
Kentucky,1920,2416630
Louisiana,1920,1798509
Maine,1920,768014
Maryland,1920,1449661
Massachusetts,1920,3852356
Michigan,1920,3668412
Minnesota,1920,2387125
Mississippi,1920,1790618
Missouri,1920,3404055
Montana,1920,548889
Nebraska,1920,1296372
Nevada,1920,77407
New Hampshire,1920,443083
New Jersey,1920,3155900
New Mexico,1920,360350
New York,1920,10385227
North Carolina,1920,2559123
North Dakota,1920,646872
Ohio,1920,5759394
Oklahoma,1920,2028283
Oregon,1920,783389
Pennsylvania,1920,8720017
Rhode Island,1920,604397
South Carolina,1920,1683724
South Dakota,1920,636547
Tennessee,1920,2337885
Texas,1920,4663228
Utah,1920,449396
Vermont,1920,352428
Virginia,1920,2309187
Washington,1920,1356621
West Virginia,1920,1463701
Wisconsin,1920,2632067
Wyoming,1920,194402
United States,1920,105710620
Alabama,1930,2646248
Alaska,1930,59278
Arizona,1930,435573
Arkansas,1930,1854482
California,1930,5677251
Colorado,1930,1035791
Connecticut,1930,1606903
Delaware,1930,238380
District of Columbia,1930,486869
Florida,1930,1468211
Georgia,1930,2908506
Hawaii,1930,368336
Idaho,1930,445032
Illinois,1930,7630654
Indiana,1930,3238503
Iowa,1930,2470939
Kansas,1930,1880999
Kentucky,1930,2614589
Louisiana,1930,2101593
Maine,1930,797423
Maryland,1930,1631526
Massachusetts,1930,4249614
Michigan,1930,4842325
Minnesota,1930,2563953
Mississippi,1930,2009821
Missouri,1930,3629367
Montana,1930,537606
Nebraska,1930,1377963
Nevada,1930,91058
New Hampshire,1930,465293
New Jersey,1930,4041334
New Mexico,1930,423317
New York,1930,12588066
North Carolina,1930,3170276
North Dakota,1930,680845
Ohio,1930,6646697
Oklahoma,1930,2396040
Oregon,1930,953786
Pennsylvania,1930,9631350
Rhode Island,1930,687497
South Carolina,1930,1738765
South Dakota,1930,692849
Tennessee,1930,2616556
Texas,1930,5824715
Utah,1930,507847
Vermont,1930,359611
Virginia,1930,2421851
Washington,1930,1563396
West Virginia,1930,1729205
Wisconsin,1930,2939006
Wyoming,1930,225565
United States,1930,122775046
Alabama,1940,2832961
Alaska,1940,72524
Arizona,1940,499261
Arkansas,1940,1949387
California,1940,6907387
Colorado,1940,1123296
Connecticut,1940,1709242
Delaware,1940,266505
District of Columbia,1940,663091
Florida,1940,1897414
Georgia,1940,3123723
Hawaii,1940,423330
Idaho,1940,524873
Illinois,1940,7897241
Indiana,1940,3427796
Iowa,1940,2538268
Kansas,1940,1801028
Kentucky,1940,2845627
Louisiana,1940,2363880
Maine,1940,847226
Maryland,1940,1821244
Massachusetts,1940,4316721
Michigan,1940,5256106
Minnesota,1940,2792300
Mississippi,1940,2183796
Missouri,1940,3784664
Montana,1940,559456
Nebraska,1940,1315834
Nevada,1940,110247
New Hampshire,1940,491524
New Jersey,1940,4160165
New Mexico,1940,531818
New York,1940,13479142
North Carolina,1940,3571623
North Dakota,1940,641935
Ohio,1940,6907612
Oklahoma,1940,2336434
Oregon,1940,1089684
Pennsylvania,1940,9900180
Rhode Island,1940,713346
South Carolina,1940,1899804
South Dakota,1940,642961
Tennessee,1940,2915841
Texas,1940,6414824
Utah,1940,550310
Vermont,1940,359231
Virginia,1940,2677773
Washington,1940,1736191
West Virginia,1940,1901974
Wisconsin,1940,3137587
Wyoming,1940,250742
United States,1940,131669275
Alabama,1950,3061743
Alaska,1950,128643
Arizona,1950,749587
Arkansas,1950,1909511
California,1950,10586223
Colorado,1950,1325089
Connecticut,1950,2007280
Delaware,1950,318085
District of Columbia,1950,802178
Florida,1950,2771305
Georgia,1950,3444578
Hawaii,1950,499794
Idaho,1950,588637
Illinois,1950,8712176
Indiana,1950,3934224
Iowa,1950,2621073
Kansas,1950,1905299
Kentucky,1950,2944806
Louisiana,1950,2683516
Maine,1950,913774
Maryland,1950,2343001
Massachusetts,1950,4690514
Michigan,1950,6371766
Minnesota,1950,2982483
Mississippi,1950,2178914
Missouri,1950,3954653
Montana,1950,591024
Nebraska,1950,1325510
Nevada,1950,160083
New Hampshire,1950,533242
New Jersey,1950,4835329
New Mexico,1950,681187
New York,1950,14830192
North Carolina,1950,4061929
North Dakota,1950,619636
Ohio,1950,7946627
Oklahoma,1950,2233351
Oregon,1950,1521341
Pennsylvania,1950,10498012
Rhode Island,1950,791896
South Carolina,1950,2117027
South Dakota,1950,652740
Tennessee,1950,3291718
Texas,1950,7711194
Utah,1950,688862
Vermont,1950,377747
Virginia,1950,3318680
Washington,1950,2378963
West Virginia,1950,2005552
Wisconsin,1950,3434575
Wyoming,1950,290529
United States,1950,150697361
Alabama,1960,3266740
Alaska,1960,226167
Arizona,1960,1302161
Arkansas,1960,1786272
California,1960,15717204
Colorado,1960,1753947
Connecticut,1960,2535234
Delaware,1960,446292
District of Columbia,1960,763956
Florida,1960,4951560
Georgia,1960,3943116
Hawaii,1960,632772
Idaho,1960,667191
Illinois,1960,10081158
Indiana,1960,4662498
Iowa,1960,2757537
Kansas,1960,2178611
Kentucky,1960,3038156
Louisiana,1960,3257022
Maine,1960,969265
Maryland,1960,3100689
Massachusetts,1960,5148578
Michigan,1960,7823194
Minnesota,1960,3413864
Mississippi,1960,2178141
Missouri,1960,4319813
Montana,1960,674767
Nebraska,1960,1411330
Nevada,1960,285278
New Hampshire,1960,606921
New Jersey,1960,6066782
New Mexico,1960,951023
New York,1960,16782304
North Carolina,1960,4556155
North Dakota,1960,632446
Ohio,1960,9706397
Oklahoma,1960,2328284
Oregon,1960,1768687
Pennsylvania,1960,11319366
Rhode Island,1960,859488
South Carolina,1960,2382594
South Dakota,1960,680514
Tennessee,1960,3567089
Texas,1960,9579677
Utah,1960,890627
Vermont,1960,389881
Virginia,1960,3966949
Washington,1960,2853214
West Virginia,1960,1860421
Wisconsin,1960,3951777
Wyoming,1960,330066
United States,1960,179323175
Alabama,1970,3444165
Alaska,1970,300382
Arizona,1970,1770900
Arkansas,1970,1923295
California,1970,19953134
Colorado,1970,2207259
Connecticut,1970,3031709
Delaware,1970,548104
District of Columbia,1970,756510
Florida,1970,6789443
Georgia,1970,4589575
Hawaii,1970,768561
Idaho,1970,712567
Illinois,1970,11113976
Indiana,1970,5193669
Iowa,1970,2824376
Kansas,1970,2246578
Kentucky,1970,3218706
Louisiana,1970,3641306
Maine,1970,992048
Maryland,1970,3922399
Massachusetts,1970,5689170
Michigan,1970,8875083
Minnesota,1970,3804971
Mississippi,1970,2216912
Missouri,1970,4676501
Montana,1970,694409
Nebraska,1970,1483493
Nevada,1970,488738
New Hampshire,1970,737681
New Jersey,1970,7168164
New Mexico,1970,1016000
New York,1970,18236967
North Carolina,1970,5082059
North Dakota,1970,617761
Ohio,1970,10652017
Oklahoma,1970,2559229
Oregon,1970,2091385
Pennsylvania,1970,11793909
Rhode Island,1970,946725
South Carolina,1970,2590516
South Dakota,1970,665507
Tennessee,1970,3923687
Texas,1970,11196730
Utah,1970,1059273
Vermont,1970,444330
Virginia,1970,4648494
Washington,1970,3409169
West Virginia,1970,1744237
Wisconsin,1970,4417731
Wyoming,1970,332416
United States,1970,203211926
Alabama,1980,3893888
Alaska,1980,401851
Arizona,1980,2718215
Arkansas,1980,2286435
California,1980,23667902
Colorado,1980,2889964
Connecticut,1980,3107576
Delaware,1980,594338
District of Columbia,1980,638333
Florida,1980,9746324
Georgia,1980,5463105
Hawaii,1980,964691
Idaho,1980,943935
Illinois,1980,11426518
Indiana,1980,5490224
Iowa,1980,2913808
Kansas,1980,2363679
Kentucky,1980,3660777
Louisiana,1980,4205900
Maine,1980,1124660
Maryland,1980,4216975
Massachusetts,1980,5737037
Michigan,1980,9262078
Minnesota,1980,4075970
Mississippi,1980,2520638
Missouri,1980,4916686
Montana,1980,786690
Nebraska,1980,1569825
Nevada,1980,800493
New Hampshire,1980,920610
New Jersey,1980,7364823
New Mexico,1980,1302894
New York,1980,17558072
North Carolina,1980,5881766
North Dakota,1980,652717
Ohio,1980,10797630
Oklahoma,1980,3025290
Oregon,1980,2633105
Pennsylvania,1980,11863895
Rhode Island,1980,947154
South Carolina,1980,3121820
South Dakota,1980,690768
Tennessee,1980,4591120
Texas,1980,14229191
Utah,1980,1461037
Vermont,1980,511456
Virginia,1980,5346818
Washington,1980,4132156
West Virginia,1980,1949644
Wisconsin,1980,4705767
Wyoming,1980,469557
United States,1980,226545805
Alabama,1990,4040587
Alaska,1990,550043
Arizona,1990,3665228
Arkansas,1990,2350725
California,1990,29760021
Colorado,1990,3294394
Connecticut,1990,3287116
Delaware,1990,666168
District of Columbia,1990,606900
Florida,1990,12937926
Georgia,1990,6478216
Hawaii,1990,1108229
Idaho,1990,1006749
Illinois,1990,11430602
Indiana,1990,5544159
Iowa,1990,2776755
Kansas,1990,2477574
Kentucky,1990,3685296
Louisiana,1990,4219973
Maine,1990,1227928
Maryland,1990,4781468
Massachusetts,1990,6016425
Michigan,1990,9295297
Minnesota,1990,4375099
Mississippi,1990,2573216
Missouri,1990,5117073
Montana,1990,799065
Nebraska,1990,1578385
Nevada,1990,1201833
New Hampshire,1990,1109252
New Jersey,1990,7730188
New Mexico,1990,1515069
New York,1990,17990455
North Carolina,1990,6628637
North Dakota,1990,638800
Ohio,1990,10847115
Oklahoma,1990,3145585
Oregon,1990,2842321
Pennsylvania,1990,11881643
Rhode Island,1990,1003464
South Carolina,1990,3486703
South Dakota,1990,696004
Tennessee,1990,4877185
Texas,1990,16986510
Utah,1990,1722850
Vermont,1990,562758
Virginia,1990,6187358
Washington,1990,4866692
West Virginia,1990,1793477
Wisconsin,1990,4891769
Wyoming,1990,453588
United States,1990,248709873
Alabama,2000,4447100
Alaska,2000,626932
Arizona,2000,5130632
Arkansas,2000,2673400
California,2000,33871648
Colorado,2000,4301261
Connecticut,2000,3405565
Delaware,2000,783600
District of Columbia,2000,572059
Florida,2000,15982378
Georgia,2000,8186453
Hawaii,2000,1211537
Idaho,2000,1293953
Illinois,2000,12419293
Indiana,2000,6080485
Iowa,2000,2926324
Kansas,2000,2688418
Kentucky,2000,4041769
Louisiana,2000,4468976
Maine,2000,1274923
Maryland,2000,5296486
Massachusetts,2000,6349097
Michigan,2000,9938444
Minnesota,2000,4919479
Mississippi,2000,2844658
Missouri,2000,5595211
Montana,2000,902195
Nebraska,2000,1711263
Nevada,2000,1998257
New Hampshire,2000,1235786
New Jersey,2000,8414350
New Mexico,2000,1819046
New York,2000,18976457
North Carolina,2000,8049313
North Dakota,2000,642200
Ohio,2000,11353140
Oklahoma,2000,3450654
Oregon,2000,3421399
Pennsylvania,2000,12281054
Rhode Island,2000,1048319
South Carolina,2000,4012012
South Dakota,2000,754844
Tennessee,2000,5689283
Texas,2000,20851820
Utah,2000,2233169
Vermont,2000,608827
Virginia,2000,7078515
Washington,2000,5894121
West Virginia,2000,1808344
Wisconsin,2000,5363675
Wyoming,2000,493782
United States,2000,281421906
Alabama,2010,4779736
Alaska,2010,710231
Arizona,2010,6392017
Arkansas,2010,2915918
California,2010,37253956
Colorado,2010,5029196
Connecticut,2010,3574097
Delaware,2010,897934
District of Columbia,2010,601723
Florida,2010,18801310
Georgia,2010,9687653
Hawaii,2010,1360301
Idaho,2010,1567582
Illinois,2010,12830632
Indiana,2010,6483802
Iowa,2010,3046355
Kansas,2010,2853118
Kentucky,2010,4339367
Louisiana,2010,4533372
Maine,2010,1328361
Maryland,2010,5773552
Massachusetts,2010,6547629
Michigan,2010,9883640
Minnesota,2010,5303925
Mississippi,2010,2967297
Missouri,2010,5988927
Montana,2010,989415
Nebraska,2010,1826341
Nevada,2010,2700551
New Hampshire,2010,1316470
New Jersey,2010,8791894
New Mexico,2010,2059179
New York,2010,19378102
North Carolina,2010,9535483
North Dakota,2010,672591
Ohio,2010,11536504
Oklahoma,2010,3751351
Oregon,2010,3831074
Pennsylvania,2010,12702379
Rhode Island,2010,1052567
