Merrimack County,Northfield,"4,548","4,829","4,830"
Merrimack County,Pembroke,"6,897","7,115","7,090"
Merrimack County,Pittsfield,"3,931","4,106","4,073"
Merrimack County,Salisbury,"1,137","1,382","1,405"
Merrimack County,Sutton,"1,544","1,837","1,857"
Merrimack County,Warner,"2,760","2,833","2,886"
Merrimack County,Webster,"1,579","1,872","1,880"
Merrimack County,Wilmot,"1,144","1,358","1,372"
Rockingham County,Atkinson,"6,178","6,751","6,832"
Rockingham County,Auburn,"4,682","4,953","5,492"
Rockingham County,Brentwood,"3,197","4,486","4,596"
Rockingham County,Candia,"3,911","3,909","3,922"
Rockingham County,Chester,"3,792","4,768","5,100"
Rockingham County,Danville,"4,023","4,387","4,479"
Rockingham County,Deerfield,"3,678","4,280","4,543"
Rockingham County,Derry,"34,021","33,109","33,037"
Rockingham County,East Kingston,"1,784","2,357","2,404"
Rockingham County,Epping,"5,476","6,411","6,944"
Rockingham County,Exeter,"14,058","14,306","15,108"
Rockingham County,Fremont,"3,510","4,283","4,728"
Rockingham County,Greenland,"3,208","3,549","4,034"
Rockingham County,Hampstead,"8,297","8,523","8,665"
Rockingham County,Hampton,"14,937","14,976","15,134"
Rockingham County,Hampton Falls,"1,880","2,236","2,296"
Rockingham County,Kensington,"1,893","2,124","2,121"
Rockingham County,Kingston,"5,862","6,025","6,136"
Rockingham County,Londonderry,"23,236","24,129","25,671"
Rockingham County,New Castle,"1,010",968,964
Rockingham County,Newfields,"1,551","1,680","1,704"
Rockingham County,Newington,775,753,790
Rockingham County,Newmarket,"8,027","8,936","9,359"
Rockingham County,Newton,"4,289","4,603","4,944"
Rockingham County,North Hampton,"4,259","4,301","4,540"
Rockingham County,Northwood,"3,640","4,241","4,240"
Rockingham County,Nottingham,"3,701","4,785","5,035"
Rockingham County,Plaistow,"7,747","7,609","7,705"
Rockingham County,Portsmouth,"20,784","21,233","21,898"
Rockingham County,Raymond,"9,674","10,138","10,306"
Rockingham County,Rye,"5,182","5,298","5,454"
Rockingham County,Salem,"28,112","28,776","28,914"
Rockingham County,Sandown,"5,143","5,986","6,268"
Rockingham County,Seabrook,"7,934","8,693","8,860"
Rockingham County,South Hampton,844,814,814
Rockingham County,Stratham,"6,355","7,255","7,405"
Rockingham County,Windham,"10,709","13,592","14,490"
Strafford County,Barrington,"7,475","8,576","8,922"
Strafford County,Dover,"26,884","29,987","30,817"
Strafford County,Durham,"12,664","14,638","16,439"
Strafford County,Farmington,"5,774","6,786","6,847"
Strafford County,Lee,"4,145","4,330","4,369"
Strafford County,Madbury,"1,509","1,771","1,807"
Strafford County,Middleton,"1,440","1,783","1,796"
Strafford County,Milton,"3,910","4,598","4,578"
Strafford County,New Durham,"2,220","2,638","2,613"
Strafford County,Rochester,"28,461","29,752","30,224"
Strafford County,Rollinsford,"2,648","2,527","2,547"
Strafford County,Somersworth,"11,477","11,766","11,751"
Strafford County,Strafford,"3,626","3,991","4,085"
Sullivan County,Acworth,836,891,898
Sullivan County,Charlestown,"4,749","5,114","5,124"
Sullivan County,Claremont,"13,151","13,355","13,233"
Sullivan County,Cornish,"1,661","1,640","1,648"
Sullivan County,Croydon,661,764,766
Sullivan County,Goshen,741,810,819
Sullivan County,Grantham,"2,167","2,985","3,025"
Sullivan County,Langdon,586,688,694
Sullivan County,Lempster,971,"1,154","1,176"
Sullivan County,Newport,"6,269","6,507","6,471"
Sullivan County,Plainfield,"2,241","2,364","2,408"
Sullivan County,Springfield,945,"1,311","1,336"
Sullivan County,Sunapee,"3,055","3,365","3,460"
Sullivan County,Unity,"1,530","1,671","1,609"
Sullivan County,Washington,895,"1,123","1,129"
